Minutes,Signal
1,1.0192
2,0.9806
3,0.9968
4,0.9774
5,0.9809
6,0.9688
7,0.9987
8,0.9814
9,0.9909
10,1.0142
11,1.0153
12,0.9846
13,0.9958
14,1.0075
15,0.9966
16,0.9597
17,0.9781
18,1.0179
19,1.0075
20,0.9934
21,1.0246
22,1.0249
23,0.9632
24,0.9868
25,1.0163
26,1.0236
27,0.986
28,0.9851
29,0.9968
30,1.0017
31,1.0508
32,1.0207
33,0.9975
34,0.9889
35,1.0164
36,0.98
37,1.0114
38,1.0295
39,1.0219
40,0.9948
41,0.9752
42,0.9953
43,1.0301
44,1.0051
45,1.0237
46,1.0033
47,1.0024
48,0.9828
49,1.0259
50,1.022
51,0.9996
52,0.9941
53,0.995
54,0.9984
55,1.0049
56,1.0158
57,1.0145
58,1.0378
59,1.0129
60,0.9747
61,1.0135
62,0.9964
63,0.9806
64,0.9561
65,0.9666
66,0.985
67,0.9812
68,1.0317
69,1.0101
70,1.0119
71,0.9814
72,0.9633
73,0.9795
74,0.9825
75,1.0097
76,0.967
77,0.9807
78,0.9832
79,0.9638
80,0.9994
81,0.9816
82,0.9798
83,1.0005
84,0.9871
85,1.0086
86,1.0274
87,1.0092
88,0.9919
89,1.012
90,0.9952
91,1.0103
92,1.0103
93,1.0103
94,1.0103
95,1.0103
96,1.0103
97,1.0103
98,1.0103
99,1.0103
100,1.0103
101,1.0103
102,1.0103
103,1.0103
104,1.0103
105,1.0103
106,1.0103
107,1.0103
108,1.0103
109,1.0103
110,1.0103
111,1.0103
112,1.0103
113,1.0103
114,1.0103
115,1.0103
116,1.0103
117,1.0103
118,1.0103
119,1.0103
120,1.0103
121,1.0103
122,1.0103
123,1.0103
124,1.0103
125,1.0103
126,1.0103
127,1.0103
128,1.0103
129,1.0103
130,1.0103
131,1.0103
132,1.0103
133,1.0103
134,1.0103
135,1.0103
136,1.0103
137,1.0103
138,1.0103
139,1.0103
140,1.0103
141,1.0103
142,1.0103
143,1.0103
144,1.0103
145,1.0103
146,1.0103
147,1.0103
148,1.0103
149,1.0103
150,1.0103
151,1.0103
152,1.0103
153,1.0103
154,1.0103
155,1.0103
156,1.0103
157,1.0103
158,1.0103
159,1.0103
160,1.0103
161,1.0103
162,1.0103
163,1.0103
164,1.0103
165,1.0103
166,1.0103
167,1.0103
168,1.0103
169,1.0103
170,1.0103
171,1.0103
172,1.0103
173,1.0103
174,1.0103
175,1.0103
176,1.0103
177,1.0103
178,1.0103
179,1.0103
180,1.0103
181,1.0103
182,1.0103
183,1.0103
184,1.0103
185,1.0103
186,1.0103
187,1.0103
188,1.0103
189,1.0103
190,1.0103
191,1.0103
192,1.0103
193,1.0103
194,1.0103
195,1.0103
196,1.0103
197,1.0103
198,1.0103
199,1.0103
200,1.0103
201,1.0103
202,1.0103
203,1.0103
204,1.0103
205,1.0103
206,1.0103
207,1.0103
208,1.0103
209,1.0103
210,1.0103
211,1.0103
212,1.0103
213,1.0103
214,1.0103
215,1.0103
216,1.0103
217,1.0103
218,1.0103
219,1.0103
220,1.0103
221,1.0103
222,1.0103
223,1.0103
224,1.0103
225,1.0103
226,1.0103
227,1.0103
228,1.0103
229,1.0103
230,1.0103
231,1.0103
232,1.0103
233,1.0103
234,1.0103
235,1.0103
236,1.0103
237,1.0103
238,1.0103
239,1.0103
240,1.0103
241,1.0103
242,1.0103
243,1.0103
244,1.0103
245,1.0103
246,1.0103
247,1.0103
248,1.0103
249,1.0103
250,1.0103
251,1.0103
252,1.0103
253,1.0103
254,1.0103
255,1.0103
256,1.0103
257,1.0103
258,1.0103
259,1.0103
260,1.0103
261,1.0103
262,1.0103
263,1.0103
264,1.0103
265,1.0103
266,1.0103
267,1.0103
268,1.0103
269,1.0103
270,1.0103
271,1.0103
272,1.0103
273,1.0103
274,1.0103
275,1.0103
276,1.0103
277,1.0103
278,1.0103
279,1.0103
280,1.0103
281,1.0103
282,1.0103
283,1.0103
284,1.0103
285,1.0103
286,1.0103
287,1.0103
288,1.0103
289,1.0103
290,1.0103
291,1.0103
292,1.0103
293,1.0103
294,1.0103
295,1.0103
296,1.0103
297,1.0103
298,1.0103
299,1.0103
300,1.0103
301,1.0103
302,1.0103
303,1.0103
304,1.0103
305,1.0103
306,1.0103
307,1.0103
308,1.0103
309,1.0103
310,1.0103
311,1.0103
312,1.0103
313,1.0103
314,1.0103
315,1.0103
316,1.0103
317,1.0103
318,1.0103
319,1.0103
320,1.0103
321,1.0103
322,1.0103
323,1.0103
324,1.0103
325,1.0103
326,1.0103
327,1.0103
328,1.0103
329,1.0103
330,1.0103
331,1.0103
332,1.0103
333,1.0103
334,1.0103
335,1.0103
336,1.0103
337,1.0103
338,1.0103
339,1.0103
340,1.0103
341,1.0103
342,1.0103
343,1.0103
344,1.0103
345,1.0103
346,1.0103
347,1.0103
348,1.0103
349,1.0103
350,1.0103
351,1.0103
352,1.0103
353,1.0103
354,1.0103
355,1.0103
356,1.0103
357,1.0103
358,1.0103
359,1.0103
360,1.0103
361,1.0103
362,1.0103
363,1.0103
364,1.0103
365,1.0103
366,1.0103
367,1.0103
368,1.0103
369,1.0103
370,1.0103
371,1.0103
372,1.0103
373,1.0103
374,1.0103
375,1.0103
376,1.0103
377,1.0103
378,1.0103
379,1.0103
380,1.0103
381,1.0103
382,1.0103
383,1.0103
384,1.0103
385,1.0103
386,1.0103
387,1.0103
388,1.0103
389,1.0103
390,1.0103
391,1.0103
392,1.0103
393,1.0103
394,1.0103
395,1.0103
396,1.0103
397,1.0103
398,1.0103
399,1.0103
400,1.0103
401,1.0103
402,1.0103
403,1.0103
404,1.0103
405,1.0103
406,1.0103
407,1.0103
408,1.0103
409,1.0103
410,1.0103
411,1.0103
412,1.0103
413,1.0103
414,1.0103
415,1.0103
416,1.0103
417,1.0103
418,1.0103
419,1.0103
420,1.0103
421,1.0103
422,1.0103
423,1.0103
424,1.0103
425,1.0103
426,1.0103
427,1.0103
428,1.0103
429,1.0103
430,1.0103
431,1.0103
432,1.0103
433,1.0103
434,1.0103
435,1.0103
436,1.0103
437,1.0103
438,1.0103
439,1.0103
440,1.0103
441,1.0103
442,1.0103
443,1.0103
444,1.0103
445,1.0103
446,1.0103
447,1.0103
448,1.0103
449,1.0103
450,1.0103
451,1.0103
452,1.0103
453,1.0103
454,1.0103
455,1.0103
456,1.0103
457,1.0103
458,1.0103
459,1.0103
460,1.0103
461,1.0103
462,1.0103
463,1.0103
464,1.0103
465,1.0103
466,1.0103
467,1.0103
468,1.0103
469,1.0103
470,1.0103
471,1.0103
472,1.0103
473,1.0103
474,1.0103
475,1.0103
476,1.0103
477,1.0103
478,1.0103
479,1.0103
480,1.0103
481,1.0103
482,1.0103
483,1.0103
484,1.0103
485,1.0103
486,1.0103
487,1.0103
488,1.0103
489,1.0103
490,1.0103
491,1.0103
492,1.0103
493,1.0103
494,1.0103
495,1.0103
496,1.0103
497,1.0103
498,1.0103
499,1.0103
500,1.0103
501,1.0103
502,1.0103
503,1.0103
504,1.0103
505,1.0103
506,1.0103
507,1.0103
508,1.0103
509,1.0103
510,1.0103
511,1.0103
512,1.0103
513,1.0103
514,1.0103
515,1.0103
516,1.0103
517,1.0103
518,1.0103
519,1.0103
520,1.0103
521,1.0103
522,1.0093
523,1.0099
524,1.0043
525,1.0239
526,0.9906
527,1.0059
528,1.0239
529,0.9756
530,1.009
531,1.0099
532,0.973
533,1.019
534,1.0143
535,1.0109
536,1.0175
537,0.9762
538,1.002
539,0.9971
540,0.9703
541,1.0071
542,1.0007
543,0.9892
544,1.0089
545,0.9755
546,0.9798
547,1.041
548,0.9849
549,1.0215
550,0.9661
551,1.0333
552,0.9789
553,1.0194
554,0.9492
555,1.0261
556,0.992
557,0.9722
558,1.0178
559,0.9945
560,0.9832
561,0.9763
562,1.021
563,1.0036
564,1.0124
565,1.0162
566,1.0197
567,0.9767
568,0.9733
569,0.9939
570,1.0047
571,1.0147
572,1.0179
573,0.9856
574,1.0088
575,1.0023
576,0.9859
577,1.0091
578,0.9917
579,0.9744
580,0.9945
581,1.0126
582,1.0218
583,0.9873
584,0.9982
585,1.0039
586,1.0144
587,1.0067
588,1.0367
589,1.0158
590,1.024
591,0.9988
592,1.0107
593,0.9688
594,0.9937
595,1.0534
596,1.029
597,0.9903
598,0.9823
599,1.0159
